"id";"nama";"id_provinsi";"created_at";"updated_at"
"101";"MUSI BANYUASIN";"6";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"102";"PAGAR ALAM";"6";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"103";"OGAN KOMERING ULU SELATAN";"6";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"104";"BANYUASIN";"6";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"105";"MUSI RAWAS";"6";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"106";"MUARA ENIM";"6";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"107";"OGAN KOMERING ULU";"6";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"108";"OGAN KOMERING ILIR";"6";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"109";"EMPAT LAWANG";"6";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"110";"LUBUK LINGGAU";"6";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"111";"PRABUMULIH";"6";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"112";"OGAN ILIR";"6";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"113";"BENGKULU TENGAH";"7";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"114";"REJANG LEBONG";"7";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"115";"MUKO MUKO";"7";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"116";"KAUR";"7";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"117";"BENGKULU UTARA";"7";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"118";"LEBONG";"7";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"119";"KEPAHIANG";"7";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"120";"BENGKULU SELATAN";"7";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"121";"SELUMA";"7";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"122";"BENGKULU";"7";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"123";"LAMPUNG UTARA";"8";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"124";"WAY KANAN";"8";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"125";"LAMPUNG TENGAH";"8";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"126";"MESUJI";"8";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"127";"PRINGSEWU";"8";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"128";"LAMPUNG TIMUR";"8";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"129";"LAMPUNG SELATAN";"8";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"130";"TULANG BAWANG";"8";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"131";"TULANG BAWANG BARAT";"8";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"132";"TANGGAMUS";"8";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"133";"LAMPUNG BARAT";"8";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"134";"PESISIR BARAT";"8";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"135";"PESAWARAN";"8";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"136";"BANDAR LAMPUNG";"8";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"137";"METRO";"8";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"138";"BELITUNG";"9";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"139";"BELITUNG TIMUR";"9";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"140";"BANGKA";"9";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"141";"BANGKA SELATAN";"9";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"142";"BANGKA BARAT";"9";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"143";"PANGKAL PINANG";"9";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"144";"BANGKA TENGAH";"9";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"145";"KEPULAUAN ANAMBAS";"10";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"146";"BINTAN";"10";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"147";"NATUNA";"10";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"148";"BATAM";"10";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"149";"TANJUNG PINANG";"10";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"150";"KARIMUN";"10";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"151";"LINGGA";"10";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"152";"JAKARTA UTARA";"11";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"153";"JAKARTA BARAT";"11";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"154";"JAKARTA TIMUR";"11";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"155";"JAKARTA SELATAN";"11";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"156";"JAKARTA PUSAT";"11";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"157";"KEPULAUAN SERIBU";"11";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"158";"DEPOK";"12";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"159";"KARAWANG";"12";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"160";"CIREBON";"12";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"161";"BANDUNG";"12";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"162";"SUKABUMI";"12";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"163";"SUMEDANG";"12";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"164";"INDRAMAYU";"12";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"165";"MAJALENGKA";"12";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"166";"KUNINGAN";"12";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"167";"TASIKMALAYA";"12";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"168";"CIAMIS";"12";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"169";"SUBANG";"12";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"170";"PURWAKARTA";"12";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"171";"BOGOR";"12";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"172";"BEKASI";"12";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"173";"GARUT";"12";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"174";"PANGANDARAN";"12";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"175";"CIANJUR";"12";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"176";"BANJAR";"12";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"177";"BANDUNG BARAT";"12";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"178";"CIMAHI";"12";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"179";"PURBALINGGA";"13";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"180";"KEBUMEN";"13";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"181";"MAGELANG";"13";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"182";"CILACAP";"13";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"183";"BATANG";"13";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"184";"BANJARNEGARA";"13";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"185";"BLORA";"13";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"186";"BREBES";"13";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"187";"BANYUMAS";"13";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"188";"WONOSOBO";"13";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"189";"TEGAL";"13";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"190";"PURWOREJO";"13";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"191";"PATI";"13";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"192";"SUKOHARJO";"13";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"193";"KARANGANYAR";"13";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"194";"PEKALONGAN";"13";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"195";"PEMALANG";"13";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"196";"BOYOLALI";"13";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"197";"GROBOGAN";"13";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"198";"SEMARANG";"13";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"199";"DEMAK";"13";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"200";"REMBANG";"13";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"201";"KLATEN";"13";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"202";"KUDUS";"13";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"203";"TEMANGGUNG";"13";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"204";"SRAGEN";"13";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"205";"JEPARA";"13";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"206";"WONOGIRI";"13";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"207";"KENDAL";"13";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"208";"SURAKARTA (SOLO)";"13";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"209";"SALATIGA";"13";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"210";"SLEMAN";"14";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"211";"BANTUL";"14";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"212";"YOGYAKARTA";"14";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"213";"GUNUNG KIDUL";"14";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"214";"KULON PROGO";"14";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"215";"GRESIK";"15";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"216";"KEDIRI";"15";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"217";"SAMPANG";"15";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"218";"BANGKALAN";"15";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"219";"SUMENEP";"15";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"220";"SITUBONDO";"15";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"221";"SURABAYA";"15";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"222";"JEMBER";"15";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"223";"PAMEKASAN";"15";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"224";"JOMBANG";"15";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"225";"PROBOLINGGO";"15";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"226";"BANYUWANGI";"15";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"227";"PASURUAN";"15";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"228";"BOJONEGORO";"15";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"229";"BONDOWOSO";"15";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"230";"MAGETAN";"15";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"231";"LUMAJANG";"15";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"232";"MALANG";"15";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"233";"BLITAR";"15";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"234";"SIDOARJO";"15";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"235";"LAMONGAN";"15";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"236";"PACITAN";"15";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"237";"TULUNGAGUNG";"15";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"238";"MOJOKERTO";"15";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"239";"MADIUN";"15";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"240";"PONOROGO";"15";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"241";"NGAWI";"15";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"242";"NGANJUK";"15";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"243";"TUBAN";"15";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"244";"TRENGGALEK";"15";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"245";"BATU";"15";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"246";"TANGERANG";"16";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"247";"SERANG";"16";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"248";"PANDEGLANG";"16";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"249";"LEBAK";"16";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"250";"TANGERANG SELATAN";"16";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"251";"CILEGON";"16";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"252";"KLUNGKUNG";"17";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"253";"KARANGASEM";"17";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"254";"BANGLI";"17";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"255";"TABANAN";"17";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"256";"GIANYAR";"17";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"257";"BADUNG";"17";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"258";"JEMBRANA";"17";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"259";"BULELENG";"17";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"260";"DENPASAR";"17";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"261";"MATARAM";"18";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"262";"DOMPU";"18";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"263";"SUMBAWA BARAT";"18";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"264";"SUMBAWA";"18";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"265";"LOMBOK TENGAH";"18";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"266";"LOMBOK TIMUR";"18";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"267";"LOMBOK UTARA";"18";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"268";"LOMBOK BARAT";"18";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"269";"BIMA";"18";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"270";"TIMOR TENGAH SELATAN";"19";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"271";"FLORES TIMUR";"19";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"272";"ALOR";"19";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"273";"ENDE";"19";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"274";"NAGEKEO";"19";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"275";"KUPANG";"19";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"276";"SIKKA";"19";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"277";"NGADA";"19";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"278";"TIMOR TENGAH UTARA";"19";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"279";"BELU";"19";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"280";"LEMBATA";"19";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"281";"SUMBA BARAT DAYA";"19";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"282";"SUMBA BARAT";"19";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"283";"SUMBA TENGAH";"19";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"284";"SUMBA TIMUR";"19";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"285";"ROTE NDAO";"19";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"286";"MANGGARAI TIMUR";"19";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"287";"MANGGARAI";"19";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"288";"SABU RAIJUA";"19";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"289";"MANGGARAI BARAT";"19";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"290";"LANDAK";"20";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"291";"KETAPANG";"20";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"292";"SINTANG";"20";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"293";"KUBU RAYA";"20";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"294";"PONTIANAK";"20";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"295";"KAYONG UTARA";"20";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"296";"BENGKAYANG";"20";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"297";"KAPUAS HULU";"20";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"298";"SAMBAS";"20";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"299";"SINGKAWANG";"20";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"300";"SANGGAU";"20";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"301";"MELAWI";"20";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"302";"SEKADAU";"20";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"303";"KOTAWARINGIN TIMUR";"21";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"304";"SUKAMARA";"21";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"305";"KOTAWARINGIN BARAT";"21";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"306";"BARITO TIMUR";"21";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"307";"KAPUAS";"21";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"308";"PULANG PISAU";"21";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"309";"LAMANDAU";"21";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"310";"SERUYAN";"21";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
